num_messages,num_messages,summary_len_words,total_words,avg_message_words,contains_urgent,contains_meeting,has_zoom,url_count,avg_sentiment
4,4,96,182,45.5,0,0,0,0,0.638125
8,8,82,3853,481.625,0,1,0,0,0.978525
4,4,106,2188,547.0,0,1,0,0,0.95335
6,6,99,228,38.0,0,0,0,0,0.3628
5,5,98,301,60.2,0,0,0,0,0.5850199999999999
4,4,81,752,188.0,0,0,0,0,0.09812500000000002
4,4,77,196,49.0,0,0,0,0,0.23265000000000002
10,10,81,220,22.0,0,0,0,0,0.08670000000000003
4,4,161,499,124.75,0,0,0,0,-0.3024
4,4,89,230,57.5,0,1,0,0,0.648525
4,4,65,159,39.75,0,0,0,0,0.49435
4,4,83,1020,255.0,0,0,0,0,0.9904999999999999
4,4,113,854,213.5,0,1,0,0,-0.20027499999999998
4,4,71,587,146.75,0,0,0,0,-0.07532500000000003
5,5,77,288,57.6,0,0,0,0,0.42306
6,6,80,771,128.5,0,0,0,0,0.23698333333333332
6,6,103,381,63.5,0,1,0,0,0.5091666666666667
4,4,86,53,13.25,0,0,0,0,0.20066666666666666
7,7,68,84,12.0,0,1,0,0,0.3529857142857143
5,5,81,286,57.2,0,0,0,0,0.48694000000000004
5,5,55,192,38.4,0,0,0,0,0.15211999999999998
5,5,65,750,150.0,0,0,0,5,0.8807
4,4,97,1258,314.5,1,0,0,0,0.981325
7,7,96,215,30.714285714285715,0,0,0,0,-0.0008714285714285785
8,8,78,2072,259.0,1,1,0,0,0.8006375
5,5,90,305,61.0,1,0,0,0,0.3182
4,4,34,108,27.0,0,0,0,0,0.322
6,6,43,498,83.0,1,0,0,0,0.7549333333333333
4,4,71,255,63.75,0,0,0,0,0.763125
5,5,92,1176,235.2,0,1,0,0,0.31722
4,4,86,764,191.0,0,1,0,0,0.767575
5,5,97,15,3.0,0,0,0,0,0.1357
4,4,81,961,240.25,0,0,0,0,0.922375
4,4,72,381,95.25,0,0,0,0,0.5366500000000001
8,8,96,1093,136.625,0,1,0,0,0.7403625
4,4,62,99,24.75,0,0,0,0,0.3448
6,6,79,339,56.5,0,0,0,0,0.6369166666666667
5,5,91,270,54.0,0,0,0,0,0.19290000000000002
4,4,55,32,8.0,0,0,0,0,-0.2391
7,7,68,1614,230.57142857142858,1,1,0,0,0.8104428571428572
4,4,58,831,207.75,0,0,0,4,0.987675
4,4,68,442,110.5,0,1,0,12,0.4966
4,4,62,35,8.75,0,0,0,0,0.3536
7,7,80,965,137.85714285714286,0,0,0,0,0.9708571428571428
4,4,81,73,18.25,1,0,0,0,-0.1518
5,5,109,859,171.8,0,1,0,0,0.7992199999999998
5,5,92,1047,209.4,0,1,0,0,0.8284600000000001
5,5,79,806,161.2,0,0,0,0,0.8236800000000001
10,10,142,3205,320.5,1,0,0,0,0.74432
4,4,46,639,159.75,1,0,0,0,0.8200999999999999
4,4,86,215,53.75,0,0,0,0,0.64335
5,5,97,113,22.6,0,0,0,0,-0.18166
7,7,141,323,46.142857142857146,0,0,0,0,0.6423428571428572
4,4,96,227,56.75,0,0,0,0,0.5686000000000001
8,8,91,514,64.25,0,0,0,0,0.696175
6,6,102,383,63.833333333333336,0,0,0,0,-0.06724999999999999
4,4,73,174,43.5,0,1,0,0,0.5569
4,4,103,4,1.0,0,0,0,0,0.2023
8,8,93,157,19.625,0,0,0,0,0.49622499999999997
4,4,84,126,31.5,0,0,0,0,0.6439250000000001
4,4,94,1047,261.75,1,1,0,0,0.90785
4,4,86,95,23.75,0,1,0,0,0.5347500000000001
4,4,83,110,27.5,1,1,0,0,0.222975
4,4,64,98,24.5,0,1,0,0,0.471125
6,6,87,1685,280.8333333333333,1,0,0,4,0.6120333333333333
4,4,76,1079,269.75,1,0,0,0,0.9390499999999999
5,5,68,86,17.2,0,0,0,0,0.2223
4,4,80,740,185.0,1,1,0,0,0.762175
4,4,81,116,29.0,0,0,0,0,0.3629
10,10,61,691,69.1,1,0,0,0,0.77117
4,4,92,143,35.75,0,0,0,0,0.1796
4,4,76,924,231.0,0,1,0,0,0.7483
6,6,48,602,100.33333333333333,0,1,0,0,0.9150666666666667
4,4,100,2645,661.25,1,0,0,0,0.9981249999999999
4,4,105,149,37.25,1,0,0,0,0.37379999999999997
4,4,109,899,224.75,1,0,0,0,0.850475
4,4,45,262,65.5,0,0,0,0,0.7269
4,4,97,403,100.75,1,1,0,0,0.9158
8,8,87,724,90.5,1,1,0,0,0.3408375
4,4,82,172,43.0,0,1,0,0,-0.06259999999999999
6,6,73,546,91.0,1,0,0,0,0.5895333333333334
6,6,95,100,16.666666666666668,0,0,0,0,0.25876666666666664
5,5,103,611,122.2,0,0,0,0,0.51156
4,4,82,533,133.25,0,0,0,0,0.94075
